===== Mythica Affordance Library [2026-08-02] EA-only cleaned =====
affordance: 36620 (EA only, MOD lines removed)
列: 名字 | 模块 | super/auto/user 标志 | tgt=目标类型 | cat=菜单分类 | ages=年龄线索(test_globals) | src=EA | guid
VD_IncestIsTabooMod_SocFamRomInterchangeableLoveTalk | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamiliarRo | ages=- | src=EA | guid=4132960559
VD_IncestIsTabooMod_SocFamRomKissWithFamilyLoveTalk | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamiliarRo | ages=- | src=EA | guid=2926152789
VD_IncestIsTabooMod_SocFamilyPlayActUp | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=3207404468
VD_IncestIsTabooMod_SocFamilyPlayMakeupSex | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=4195961728
VD_IncestIsTabooMod_SocFamilyPlayScold | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=2350048022
VD_IncestIsTabooMod_SocInbredConsoleOverRevelation | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=4072327533
VD_IncestIsTabooMod_SocInbredExplainParentsAreRelated | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2702895966
VD_IncestIsTabooMod_SocIncestJoke | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET_AND_GROUP | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2800064802
VD_IncestIsTabooMod_SocIncestPickupLine | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3074501533
VD_IncestIsTabooMod_SocPlayCallOniiChanSibling | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=4281421270
VD_IncestIsTabooMod_SocRevealIncPregnancy | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3853899841
VD_IncestIsTabooMod_SocRomEmbraceTabooEncourage | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2796228364
VD_IncestIsTabooMod_SocRomExpTalkAboutSexualPreferences | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatExploratio | ages=- | src=EA | guid=3995500915
VD_IncestIsTabooMod_SocRomMentAdviceOnHowToBeAGoodPartner | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatMentorship | ages=- | src=EA | guid=3313835718
VD_IncestIsTabooMod_SocRomMentAskForBestSexPositions | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatMentorship | ages=- | src=EA | guid=2424360937
VD_IncestIsTabooMod_SocRomMentGivePointers | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatMentorship | ages=- | src=EA | guid=3062049366
VD_IncestIsTabooMod_SocRomMentPracticeKissingBetter | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatMentorship | ages=- | src=EA | guid=2241159188
VD_IncestIsTabooMod_SocialInteraction | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatOpinions | ages=- | src=EA | guid=3162214121
VD_IncestIsTabooMod_SocialInteraction10 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=2476405182
VD_IncestIsTabooMod_SocialInteraction13 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=2476405181
VD_IncestIsTabooMod_SocialInteraction2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatRelationsh | ages=- | src=EA | guid=2676095225
VD_IncestIsTabooMod_SocialInteraction3 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2676095224
VD_IncestIsTabooMod_SocialInteraction4 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2676095231
VD_IncestIsTabooMod_SocialInteraction5 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatOpinions | ages=- | src=EA | guid=2676095230
VD_IncestIsTabooMod_SocialInteraction6 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatOpinions | ages=- | src=EA | guid=2676095229
VD_IncestIsTabooMod_SocialInteraction7 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatPersuasion | ages=- | src=EA | guid=2676095228
VD_IncestIsTabooMod_SocialInteraction8 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatManipulati | ages=- | src=EA | guid=2676095219
VD_IncestIsTabooMod_SocialInteraction9 | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=2676095218
VD_IncestIsTabooMod_SupFamilyPlayPunishmentSex | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatFamilyPlay | ages=- | src=EA | guid=3924723925
VD_IncestIsTabooMod_SuperAddConviction | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_IncestActions | ages=- | src=EA | guid=4284583016
VD_IncestIsTabooMod_SuperAddIncestuousCrush | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_IncestActions | ages=- | src=EA | guid=2758334201
VD_IncestIsTabooMod_SuperCheatAddInbredTrait | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2664259469
VD_IncestIsTabooMod_SuperCheatDeleteInbredTrait | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3759266973
VD_IncestIsTabooMod_SuperComputerArgueaboutIncest2 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2676444249
VD_IncestIsTabooMod_SuperComputerLongPostNeg | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=4086801250
VD_IncestIsTabooMod_SuperComputerMakeYourselfNormal | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3311726264
VD_IncestIsTabooMod_SuperComputerPersonalExperience | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3422816908
VD_IncestIsTabooMod_SuperDeleteIncestuousCrush | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_IncestActions | ages=- | src=EA | guid=3311440007
VD_IncestIsTabooMod_SuperDeleteProtectiveObsession | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatActionsObs | ages=- | src=EA | guid=2360647456
VD_IncestIsTabooMod_SuperDisableDiscovery | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_IncestActions | ages=- | src=EA | guid=3037252729
VD_IncestIsTabooMod_SuperDrunkComeOntoSexually | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3953471108
VD_IncestIsTabooMod_SuperEnableDiscovery | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_IncestActions | ages=- | src=EA | guid=3553636360
VD_IncestIsTabooMod_SuperGiveInbreedingAttitude | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=3362772053
VD_IncestIsTabooMod_SuperInteractionExperimental | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatMentorship | ages=- | src=EA | guid=4232287095
VD_IncestIsTabooMod_SuperInteractionExperimental3 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatActionsObs | ages=- | src=EA | guid=2506171494
VD_IncestIsTabooMod_SuperInteractionExperimental4 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatActionsObs | ages=- | src=EA | guid=2506171489
VD_IncestIsTabooMod_SuperInteractionExperimental5 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=2506171488
VD_IncestIsTabooMod_SuperInteractionExperimental6 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2506171491
VD_IncestIsTabooMod_SuperInteractionExperimental7 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatActionsObs | ages=- | src=EA | guid=2506171490
VD_IncestIsTabooMod_SuperInteractionExperimental8 | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2506171501
VD_IncestIsTabooMod_SuperPickerAddIncestRelatedTrait | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=3847271225
VD_IncestIsTabooMod_SuperRemoveConvince | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_IncestActions | ages=- | src=EA | guid=3570727472
VD_IncestIsTabooMod_SuperResearchManipulationTactics | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3943598098
VD_IncestIsTabooMod_SuperResetInbreedingAttitude | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3196128049
VD_IncestIsTabooMod_SuperRomExpConvinceFamilyIsTheBestForCasualSex | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VD_IncestIsTabooMod_PieMenuCatExploratio | ages=- | src=EA | guid=4157611600
VD_IncestIsTabooMod_SuperSexConvince | sims4.tuning.instances | super=Y auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatPersuasion | ages=- | src=EA | guid=2713699438
VD_IncestIsTabooMod_T3E39U3HK62 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatAskToBeFam | ages=- | src=EA | guid=2649000841
VD_IncestIsTabooMod_T63I404GDV2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatManipulati | ages=- | src=EA | guid=2866282405
VD_IncestIsTabooMod_TQ9GYQUXSI2 | sims4.tuning.instances | super=N auto=Y user=N | tgt=GROUP | cat=- | ages=- | src=EA | guid=2727026560
VD_IncestIsTabooMod_Tellsimtoonlythinkaboutsim | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatObsessive | ages=- | src=EA | guid=2212969015
VD_IncestIsTabooMod_V4P1JY4V462 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatDiscovery | ages=- | src=EA | guid=3619224688
VD_IncestIsTabooMod_VDCRBWN4OA2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatDiscovery | ages=- | src=EA | guid=2574795986
VD_IncestIsTabooMod_W7374E4BTF2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatAskToBeFam | ages=- | src=EA | guid=2885150199
VD_IncestIsTabooMod_WGI42ETUJB2 | sims4.tuning.instances | super=N auto=Y user=N | tgt=GROUP | cat=- | ages=- | src=EA | guid=3165440077
VD_IncestIsTabooMod_YE3O8VM0D62 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatObsessive | ages=- | src=EA | guid=2320848085
VD_IncestIsTabooMod_YQR0AWOG922 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatManipulati | ages=- | src=EA | guid=4247763061
VD_IncestIsTabooMod_Youbelongtome | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCatObsessive | ages=- | src=EA | guid=2686907771
VD_IncestIsTabooMod_ZD52C98KJN2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=3890817968
VD_IncestIsTabooMod_ZYQCYVXWFQ2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VD_IncestIsTabooMod_PieMenuCategory | ages=- | src=EA | guid=2615905570
VD_VampiresReactToPeriods_Icansmellit | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=pieMenuCategory_Vampire | ages=- | src=EA | guid=4063424043
VFXMachine_ControlUnit_Toggle_Ash | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192077
VFXMachine_ControlUnit_Toggle_Blossom | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=198275
VFXMachine_ControlUnit_Toggle_Bubbles | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192075
VFXMachine_ControlUnit_Toggle_Confetti | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192076
VFXMachine_ControlUnit_Toggle_Hearts | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=201573
VFXMachine_ControlUnit_Toggle_Leaves | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=198274
VFXMachine_ControlUnit_Toggle_Meatball | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=201561
VFXMachine_ControlUnit_Toggle_Money | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=198276
VFXMachine_ControlUnit_Toggle_Off | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192078
VFXMachine_ControlUnit_Toggle_Rain | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192079
VFXMachine_ControlUnit_Toggle_Snow | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192080
VFXMachine_ControlUnit_Toggle_Sparkles | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_ControlUnit_S | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=192081
VFXMachine_Emitter_Toggle_Ash | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192068
VFXMachine_Emitter_Toggle_Blossom | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=198272
VFXMachine_Emitter_Toggle_Bubbles | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192065
VFXMachine_Emitter_Toggle_Confetti | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192066
VFXMachine_Emitter_Toggle_Hearts | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=201570
VFXMachine_Emitter_Toggle_Leaves | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=198271
VFXMachine_Emitter_Toggle_Meatball | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=201562
VFXMachine_Emitter_Toggle_Money | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=198273
VFXMachine_Emitter_Toggle_Off | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192061
VFXMachine_Emitter_Toggle_Rain | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192063
VFXMachine_Emitter_Toggle_Snow | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192064
VFXMachine_Emitter_Toggle_Sparkles | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=pieMenuCategory_VFXMachine_Emitter_SetEf | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=192067
VIPRope_Bouncer_Mixers_Stand | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=195414
VIPRope_Bouncer_Mixers_TalkOnEarpiece | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=195415
VIPRope_Bouncer_Mixers_ToughPose | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=195416
VacuumCleaner_HeightChooser | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=- | src=EA | guid=257919
VampireCreation_TransformIntoVampire | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=149544
VampireDoughnut_BloodthirstyTrait_2CWUPGBFZO2 | sims4.tuning.instances | super=N auto=Y user=N | tgt=GROUP | cat=- | ages=- | src=EA | guid=2559579203
VampireDoughnut_BloodthirstyTrait_558FIQA5HF2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=sim_SubCat_Friendly_SmallTalk | ages=- | src=EA | guid=2476303460
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=3197533864
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction10 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2724575451
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction11 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2724575450
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction12 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2724575449
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction2 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530634
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction3 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530635
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction4 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530636
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction5 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530637
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction6 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530638
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction7 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530639
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction8 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530624
VampireDoughnut_ExpandedIncestCloneAddOn_SocialInteraction9 | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=- | src=EA | guid=2934530625
VampireDoughnut_ExpandedIncestCloneAddOn_SuperFusedAskSex | sims4.tuning.instances | super=Y auto=N user=Y | tgt=GROUP | cat=VampireDoughnut_ExpandedIncestCloneAddOn | ages=ADULT,ELDER,YOUNGADULT | src=EA | guid=2609877734
Vault_MoneyPhone | sims4.tuning.instances | super=Y auto=N user=Y | tgt=ACTOR | cat=pieMenuCategory_Sim_MakeItRain | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=200959
Vault_VaultDoor_BreakIn | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=193406
Vault_VaultDoor_Close | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=193405
Vault_VaultDoor_Open | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,YOUNGADULT | src=EA | guid=193404
Vehicle_Bike_ToggleFavorite | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=219656
Vehicle_SimPicker_TravelWith | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=- | src=EA | guid=209136
Vehicle_WaterScooter_ToggleFavorite | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,BABY,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=222848
VerdemarLighthouse_Woohoo | sims4.tuning.instances | super=Y auto=Y user=N | tgt=TARGET | cat=- | ages=- | src=EA | guid=480069
VerdemarLighthouse_tryForBaby | sims4.tuning.instances | super=Y auto=N user=N | tgt=TARGET | cat=- | ages=- | src=EA | guid=480087
VerdemarLighthouse_tryForBaby_Female_Picker | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=480084
VerdemarLighthouse_tryForBaby_Male_Picker | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=480085
